epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,163.74,1.29267,1.18011,1.3383,0.84904,0.90802,0.90985,0.61314,1.08511,0.93578,1.12802,0.000474644,0.000474644,0.000474644
2,483.097,1.20686,0.86737,1.2294,0.81626,0.91911,0.9105,0.60352,1.09397,0.7762,1.10111,0.000856831,0.000856831,0.000856831
3,955.979,1.18002,0.8361,1.19869,0.8333,0.88338,0.90896,0.60723,1.07827,0.77703,1.07513,0.0011447,0.0011447,0.0011447
4,1289.35,1.15279,0.80095,1.18078,0.8542,0.90002,0.92217,0.60421,1.08253,0.75198,1.0886,0.00100459,0.00100459,0.00100459
5,1607.98,1.13071,0.76955,1.16767,0.83652,0.92014,0.91346,0.62801,1.0529,0.75742,1.07784,0.000863116,0.000863116,0.000863116
6,1904.43,1.11016,0.74169,1.1579,0.82933,0.92932,0.92695,0.628,1.04709,0.67,1.06315,0.000721645,0.000721645,0.000721645
7,2342.1,1.08902,0.71742,1.14514,0.88706,0.89843,0.92623,0.63622,1.05762,0.67784,1.06066,0.000580174,0.000580174,0.000580174
8,2840.74,1.07208,0.696,1.13065,0.83857,0.92584,0.92611,0.64062,1.02432,0.74341,1.04198,0.000438703,0.000438703,0.000438703
9,3282.32,1.04662,0.67069,1.11456,0.85766,0.90201,0.92948,0.64818,1.0099,0.65264,1.04352,0.000297232,0.000297232,0.000297232
10,3799.47,1.02221,0.64619,1.10793,0.86114,0.91598,0.93613,0.6476,1.00072,0.62847,1.03728,0.000155761,0.000155761,0.000155761
